name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z
G1	-49.4623	21.1879	-39.5809759090378	-999	G	L	strip	-45.1292	13.468	-34.0388
G2	-55.9302	15.1057	-32.5836608696147	-999	G	L	strip	-50.0197	5.98866	-28.9856
G3	-61.6262	4.77598	-28.2236649909419	-999	G	L	strip	-51.9221	-2.61252	-23.3941
G4	-69.1247	-6.94036	-20.8920675919467	-999	G	L	strip	-55.4409	-11.9368	-17.7392
G5	-71.6264	-17.6638	-17.1183783152011	-999	G	L	strip	-56.7671	-20.214	-13.3383
G6	-70.6365	-26.1756	-10.095692400364	-999	G	L	strip	-60.412	-28.541	-7.95945
G7	-70.5335	-35.1723	-3.287170781155	-999	G	L	strip	-59.4359	-37.0177	-3.32119
G8	-70.5671	-43.1966	1.44160291548798	-999	G	L	strip	-58.3177	-46.2423	0.377633
G9	-46.9677	21.6837	-24.0547993157737	-999	G	L	strip	-43.9349	18.2571	-23.717
G10	-58.4035	17.5474	-15.6090427577793	-999	G	L	strip	-48.8254	10.7778	-18.6637
G11	-62.8406	6.23051	-13.8229856560448	-999	G	L	strip	-52.3279	1.70258	-14.2242
G12	-66.5887	-0.593458	-4.63723919420497	-999	G	L	strip	-54.2933	-6.39992	-8.77084
G13	-70.0431	-11.4492	-4.13653054171238	-999	G	L	strip	-56.7392	-14.8268	-4.41964
G14	-71.1092	-21.9145	3.34197750079724	-999	G	L	strip	-57.9557	-24.3492	1.49673
G15	-71.4857	-30.7296	5.43204792223309	-999	G	L	strip	-58.1623	-32.4576	6.33145
G16	-68.5361	-39.7435	8.39336182217069	-999	G	L	strip	-58.2429	-41.5622	11.4636
G18	-54.2807	16.6644	-9.44274892714001	-999	G	L	strip	-47.4258	14.3201	-9.14345
G19	-61.3499	14.4223	-3.08088260565922	-999	G	L	strip	-51.1336	6.49179	-3.90244
G20	-66.006	6.75377	2.82126663130529	-999	G	L	strip	-53.0197	-1.85843	0.509727
G21	-67.5771	-2.03168	6.67224349871823	-999	G	L	strip	-55.5448	-10.0119	6.41522
G22	-69.7432	-14.0171	8.93960706652063	-999	G	L	strip	-55.5625	-19.6146	11.6961
G23	-69.0323	-21.9616	13.0382226672445	-999	G	L	strip	-55.7691	-27.723	16.5308
G24	-68.3052	-29.5504	21.2424234057851	-999	G	L	strip	-55.8497	-36.8275	21.6629
G26	-55.0672	19.9479	-2.11395615205891	-999	G	L	strip	-48.4545	19.063	-0.058708
G27	-60.2851	18.3005	1.10109939141417	-999	G	L	strip	-49.86	11.0594	5.90192
G28	-66.3537	9.64442	7.96782806261167	-999	G	L	strip	-52.3852	2.90599	11.8074
G29	-65.9971	1.13802	17.6023932784503	-999	G	L	strip	-53.0886	-5.77541	16.7633
G30	-69.7531	-10.5191	19.8586702209788	-999	G	L	strip	-53.1692	-14.88	21.8954
G31	-66.4887	-16.9801	27.8962188420028	-999	G	L	strip	-54.3694	-24.1345	26.9724
G32	-62.0985	-28.4108	35.0910280514812	-999	G	L	strip	-56.8947	-32.288	32.8778
TT1	-17.7576	-21.0841	-20.5690154679843	-999	TT	L	strip	-17.3631	-25.6747	-22.5332
TT2	-15.0933	-13.929	-24.2371329822642	-999	TT	L	strip	-17.3618	-16.3003	-26.1822
TT3	-16.5553	-5.13288	-34.519239580368	-999	TT	L	strip	-17.2811	-7.17548	-30.9087
TT4	-18.4328	6.2181	-34.6214080815529	-999	TT	L	strip	-18.4788	2.29887	-33.5301
TT5	-21.0091	13.9116	-41.3080119014112	-999	TT	L	strip	-21.8526	10.9751	-36.1129
TT6	-26.5493	22.4024	-44.9658572402113	-999	TT	L	strip	-29.0352	17.8813	-37.3783
LAST1	-18.5569	-2.48408	-40.0198177581931	-999	LAST	L	strip	-21.5456	-4.2091	-34.3413
LAST2	-26.069	-5.02082	-44.5535215344505	-999	LAST	L	strip	-28.9072	-6.75381	-41.1537
LAST3	-37.669	-7.40685	-45.082663847774	-999	LAST	L	strip	-39.5903	-7.42778	-42.9792
LAST4	-49.5215	-6.2961	-46.1055523037239	-999	LAST	L	strip	-49.8722	-7.52786	-42.625
LMST1	-25.4495	-10.0584	-39.3605391154026	-999	LMST	L	strip	-26.542	-7.45183	-40.7784
LMST2	-37.4396	-8.80294	-43.8961220455897	-999	LMST	L	strip	-35.8532	-9.97065	-42.0023
LMST3	-47.3972	-12.6074	-41.0675897663535	-999	LMST	L	strip	-45.5517	-14.3094	-41.6218
LMST4	-58.9905	-14.6436	-35.5143777598498	-999	LMST	L	strip	-53.2256	-14.0345	-36.5577
LPST1	-8.98206	-44.0091	-4.96670611166561	-999	LPST	L	strip	-9.72157	-44.8701	-5.30191
LPST2	-18.3009	-43.5219	-11.0458840758827	-999	LPST	L	strip	-16.4678	-43.276	-13.1684
LPST3	-26.0528	-37.8666	-15.7963301492146	-999	LPST	L	strip	-23.9793	-40.51	-20.2582
LPST4	-32.5744	-35.8586	-23.3200753527767	-999	LPST	L	strip	-32.02	-38.8156	-24.8042
PPST1	-25.1493	-55.7923	-15.0270555273147	-999	PPST	L	strip	-23.1916	-55.3699	-17.3843
PPST2	-35.2428	-54.8462	-19.3446217318353	-999	PPST	L	strip	-32.9118	-53.9001	-22.0048
PPST3	-43.264	-49.4159	-23.7369038330229	-999	PPST	L	strip	-42.4197	-50.3603	-24.8595
PPST4	-51.9338	-46.9326	-27.8790904240063	-999	PPST	L	strip	-52.4407	-47.6432	-26.3856
P1	-14.9587	12.1718	70.4583085776545	-999	P	L	strip	-11.5565	9.19297	72.8557
P2	-22.7506	9.56531	69.4659245149307	-999	P	L	strip	-20.9614	8.15065	68.5467
P3	-31.2746	5.53993	65.5338633680123	-999	P	L	strip	-31.2807	5.70755	63.2992
P4	-40.9307	1.21292	61.9813724281376	-999	P	L	strip	-39.8412	3.2346	56.9532
P5	-50.4178	4.05594	52.6510550504892	-999	P	L	strip	-46.3909	-1.2606	50.1039
P6	-58.9296	-3.15616	45.2486981622039	-999	P	L	strip	-52.0961	-7.18654	41.2175
RS1	-51.6958	10.8594	45.863942049761	-999	RS	L	strip	-49.9823	11.3564	38.5954
RS2	-46.7186	21.3146	46.4380260192917	-999	RS	L	strip	-43.417	23.9825	45.6313
OF1	-3.8628	32.107	-25.512731601879	-999	OF	L	strip	-7.95418	28.6047	-30.4979
OF2	-15.1447	32.3329	-27.9811454533886	-999	OF	L	strip	-16.8108	29.2287	-25.6215
OF3	-24.5387	31.653	-26.3967467982957	-999	OF	L	strip	-26.2108	30.0268	-21.9853
OF4	-36.587	32.7712	-24.362015321249	-999	OF	L	strip	-36.1707	30.7501	-18.3739
LF1	-14.4339	68.7513	21.3364748722746	-999	LF	L	strip	-15.1347	65.1338	23.673
LF2	-22.4698	66.8514	18.6451635019008	-999	LF	L	strip	-24.32	61.6123	22.6182
LF3	-37.6733	59.7232	15.0815906241216	-999	LF	L	strip	-34.3403	56.4352	19.4438
LF4	-45.4426	51.7472	16.9425440117866	-999	LF	L	strip	-41.2466	49.1424	17.1506
LF5	-51.1228	46.0864	14.1384145303101	-999	LF	L	strip	-45.0852	40.4754	14.2606
LF6	-57.196	39.1658	9.42754259519972	-999	LF	L	strip	-48.2218	31.1305	10.3657
RAST1	40.4774	-8.695	-41.5571196226442	-999	RAST	R	strip	39.4787	-8.82134	-44.3327
RAST2	51.3292	-11.7029	-39.5557786798876	-999	RAST	R	strip	48.7976	-10.8651	-41.892
RAST3	59.6003	-12.8944	-33.338210872006	-999	RAST	R	strip	56.3883	-13.8807	-35.8796
RAST4	65.4664	-17.6188	-26.5434419589583	-999	RAST	R	strip	61.9824	-16.1227	-25.632
RPST1	20.701	-1.95577	-38.2676806086001	-999	RPST	R	strip	21.3731	-3.33566	-39.1918
RPST2	26.5815	-9.86048	-36.7089387221258	-999	RPST	R	strip	29.6917	-9.843	-39.0921
RPST3	37.0927	-14.5552	-37.0475008789806	-999	RPST	R	strip	38.8614	-14.4553	-38.2792
RPST4	50.5355	-17.8419	-36.6583092755153	-999	RPST	R	strip	48.3693	-17.995	-35.4245
RALT1	37.2195	23.2754	-29.3356791938433	-999	RALT	R	strip	38.543	27.4342	-32.2167
RALT2	46.6929	22.1046	-25.6143073266765	-999	RALT	R	strip	47.342	21.2513	-31.0148
RALT3	52.8966	17.3467	-31.8346881254457	-999	RALT	R	strip	52.4115	13.0486	-29.5728
RALT4	61.7405	3.76576	-28.5987806696651	-999	RALT	R	strip	58.0406	4.9207	-28.1061
RALT5	65.437	-3.36974	-17.1165549003181	-999	RALT	R	strip	62.4711	-3.10728	-25.6115
RALT6	70.1797	-13.0272	-17.5717534649043	-999	RALT	R	strip	63.7316	-13.0802	-22.8522
RPLT1	60.0793	-62.0719	10.0739883522717	-999	RPLT	R	strip	52.863	-63.3485	7.29472
RPLT2	64.254	-61.0334	0.3118895624058	-999	RPLT	R	strip	51.2107	-57.0348	-1.78465
RPLT3	69.2827	-53.4716	-4.96799958645429	-999	RPLT	R	strip	53.7359	-48.8575	-7.21332
RPLT4	71.1499	-47.742	-11.7827363620795	-999	RPLT	R	strip	56.7416	-40.3558	-11.5397
